shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
12448,34.168909,-118.374274,123,12784.90109182887
12448,34.168906,-118.37527999999998,124,12877.827331937187
12448,34.168905,-118.375298,125,12878.703556178636
13945,34.177995,-118.311952,0,0
13945,34.177992,-118.31203399999998,1,7.5814391190825905
13945,34.177936,-118.312117,2,17.45608962568407
13945,34.177812,-118.31217600000002,3,32.2754538881712
13945,34.17751,-118.312436,4,73.54578482960135
13945,34.177357,-118.312701,5,103.3497762797264
13945,34.176678,-118.31342,6,203.87399702828645
13945,34.176234,-118.31376699999998,7,262.71461420469296
13945,34.175802,-118.314231,8,327.07274988695565
13945,34.174375,-118.31568400000003,9,534.8336918903997
13945,34.173933,-118.316215,10,604.2512420963326
13945,34.173369,-118.316737,11,683.3325390629788
13945,34.172982,-118.317141,12,740.2753734586996
13945,34.172371,-118.317765,13,829.3449521214965
13945,34.171954,-118.31822899999996,14,892.4703063783367
13945,34.170773,-118.319498,15,1068.4476559845596
13945,34.170329,-118.319999,16,1136.0987210307655
13945,34.169495,-118.320826,17,1256.211188753767
13945,34.1689,-118.321456,18,1344.299100143509
13945,34.168434,-118.32194700000002,19,1413.1421215764615
13945,34.168035,-118.322408,20,1474.6226342040836
13945,34.167846,-118.322663,21,1506.1834798922805
13945,34.167308,-118.32313799999996,22,1580.347774358236
13945,34.166652,-118.32383700000004,23,1677.7371644797151
13945,34.166128,-118.324391,24,1755.264390920814
13945,34.165074,-118.32549799999998,25,1910.7600698816223
13945,34.164484,-118.326189,26,2002.2710951847073
13945,34.163181,-118.32748800000002,27,2190.3412659952237
13945,34.161985,-118.328738,28,2366.4156650519717
13945,34.161093,-118.329594,29,2493.2260726910804
13945,34.160739,-118.329489,30,2533.745976633513
13945,34.160158,-118.329143,31,2605.7942549762174
13945,34.159095,-118.32858499999998,32,2734.688328171367
13945,34.158498,-118.328379,33,2803.7113985967894
13945,34.158272,-118.328263,34,2831.018686962147
13945,34.157758,-118.329703,35,2975.80180845687
13945,34.156814,-118.332632,36,3266.031277192913
13945,34.156567,-118.33331399999996,37,3334.760039354938
13945,34.155941,-118.335033,38,3508.1459280956437
13945,34.155355,-118.33577300000002,39,3602.567370076518
13945,34.154501,-118.336695,40,3730.097179479509
13945,34.153665,-118.33754,41,3851.451396861175
13945,34.153236,-118.33797900000002,42,3914.0464522917005
13945,34.152682,-118.33860800000002,43,3998.7100937331234
13945,34.152299,-118.339078,44,4059.5163013116
13945,34.152185,-118.33925399999998,45,4080.1302224763
13945,34.152397,-118.33939099999998,46,4106.875456967455
13945,34.152557,-118.339586,47,4132.188941168202
13945,34.152817,-118.339703,48,4163.039502202773
13945,34.152943,-118.33982500000002,49,4181.0154021174285
13945,34.152939,-118.340037,50,4200.607552921862
13945,34.152786,-118.34056399999996,51,4252.181695094851
13945,34.152467,-118.341459,52,4342.151821180972
13945,34.1521,-118.342557,53,4451.490672131371
13945,34.151952,-118.34306400000004,54,4501.1374769333715
13945,34.151983,-118.343822,55,4571.25587661238
13945,34.152139,-118.344338,56,4621.984846257206
13945,34.152196,-118.344812,57,4666.234623558861
13945,34.15221,-118.34502199999996,58,4685.699303186396
13945,34.152307,-118.34524599999996,59,4709.034364231753
13945,34.152419,-118.34556700000002,60,4741.198234710906
13945,34.15228,-118.34607699999998,61,4790.7857019505955
13945,34.152279,-118.347262,62,4900.270432906971
13945,34.152277,-118.34869700000002,63,5032.85315935098
13945,34.152315,-118.351032,64,5248.629398806783
13945,34.152277,-118.35215399999998,65,5352.378833982954
13945,34.152249,-118.353836,66,5507.812619920128
13945,34.152252,-118.35603000000005,67,5710.519665557502
13945,34.152246,-118.358517,68,5940.297570637497
13945,34.152248,-118.360455,69,6119.351491102033
13945,34.152206,-118.361375,70,6204.479179544472
13945,34.152069,-118.361536,71,6225.764460918407
13945,34.150521,-118.361562,72,6397.81207665745
13945,34.148776,-118.361583,73,6591.745402592763
13945,34.146796,-118.36154599999998,74,6811.811322723354
13945,34.143582,-118.36154599999998,75,7168.986237104797
13945,34.143317,-118.361717,76,7202.406884714018
13945,34.143063,-118.36163599999998,77,7231.609539241666
13945,34.142289,-118.36121300000002,78,7326.088832138905
13945,34.142038,-118.361135,79,7354.898795347214
13945,34.141745,-118.36109699999996,80,7387.648943206969
13945,34.141343,-118.361105,81,7432.329707194532
13945,34.14103,-118.361194,82,7468.072648559974
13945,34.140269,-118.36161800000002,83,7561.277762441602
13945,34.139272,-118.36223,84,7685.67290678544
13945,34.139179,-118.36238000000004,85,7702.962673464587
