area,countryCodes,bbox,openaddressesFiles
SanktPetersburg,RU,30.042 59.796 30.63 60.071,
SantaBarbara,US,-119.9402 34.39 -119.5399 34.4735,
SantaCruz,US,-122.30 36.78 -121.50 37.27,
Santiago,CL,-70.95 -33.70 -70.45 -33.17,
Sarajewo,BA,18.242 43.768 18.515 43.935,
Schwerin,DE,11.00 53.505 11.86 54.046,
Seattle,US,-122.462 47.394 -122.005 47.831,us/wa/king.csv
Seoul,KR,126.58 37.35 127.31 37.72,
Sheffield,US,-1.59 53.30 -1.26 53.48,
Singapore,SG,103.6033 1.2385 104.028 1.4804,
Sofia,BG,23.129 42.557 23.525 42.825,
Stockholm,SE,17.535 59.103 18.557 59.571,
Stockton,US,-121.459 37.718 -121.092 38.165,
Strassburg,FR,7.55 48.434 8.038 48.724,
Stuttgart,DE,8.79 48.46 9.50 48.93,
Sucre,BO,-65.424 -19.167 -65.069 -18.921,
Sydney,AU,150.827 -34.058 151.328 -33.681,
Szczecin,PL,14.35 53.30 14.82 53.57,
Tallinn,EE,24.444 59.287 25.088 59.577,
Tehran,IR,51.2734 35.6007 51.5549 35.807,
Tilburg,NL,4.89 51.456 5.267 51.645,
Tokyo,JP,139.6165 35.5591 139.9478 35.7836,
Toronto,CA,-79.79 43.48 -79.00 43.92,
Toulouse,PL,1.191 43.454 1.681 43.752,
Trondheim,SE,10.139 63.304 10.689 63.466,
Tucson,US,-111.108 32.114 -110.704 32.335,
Turin,IT,7.43 44.941 7.929 45.21,
UlanBator,MN,106.8392 47.8995 107.0167 47.9337,
Ulm,DE,9.60 48.15 10.41 48.67,
Usedom,DE,13.23 53.48 14.883 54.20,
Utrecht,NL,4.741 51.926 5.49 52.323,
Vancouver,CA,-123.307 48.999 -122.668 49.416,
Victoria,CA,-123.578 48.392 -123.25 48.702,
WarenMueritz,DE,11.70 52.95 13.40 53.91,
Warsaw,PL,20.653 52.041 21.408 52.451,
WashingtonDC,US,-77.23 38.78 -76.84 39.05,
Waterloo,CA,-80.65 43.29 -80.14 43.62,
Wien,AT,15.92 47.91 16.88 48.47,
Wroclaw,PL,16.803 50.998 17.278 51.216,
Wuerzburg,DE,9.45 49.40 10.54 50.11,
Wuppertal,DE,6.95 51.06 7.65 51.39,
Zagreb,HR,15.748 45.683 16.291 45.94,
Zuerich,CH,8.29 47.13 8.87 47.58,
